City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,iskateley,67.6803,53.1512,-9.38,97,98,4.26,RU,1715128320
276,mossel bay,-34.1831,22.146,15.96,87,100,2.91,ZA,1715128398
277,ghogha,21.6833,72.2833,29.64,53,0,1.87,IN,1715128660
278,conde,-7.2597,-34.9075,25.7,94,40,2.57,BR,1715128661
279,axim,4.8699,-2.2405,27.29,83,93,1.7,GH,1715128661
280,junction city,39.0286,-96.8314,25.92,17,0,2.06,US,1715128661
281,kristiansund,63.1115,7.732,8.03,93,100,4.63,NO,1715128334
282,nanning,22.8167,108.3167,25.25,87,100,3.53,CN,1715128661
283,sao joao da barra,-21.6403,-41.0511,25.05,90,1,5.27,BR,1715128569
284,buta,2.7858,24.73,24.06,77,52,0.89,CD,1715128662
285,anadyr,64.75,177.4833,-6.72,62,75,3.0,RU,1715128321
286,issa,53.8705,44.8578,4.52,93,100,6.81,RU,1715128662
287,vrangel',42.7297,133.0839,7.57,74,0,4.52,RU,1715128662
288,kayangel,8.0823,134.7173,28.39,74,27,3.85,PW,1715128663
289,xining,36.6167,101.7667,14.33,40,0,0.59,CN,1715128663
290,chestertown,39.209,-76.0666,22.35,85,100,2.2,US,1715128663
291,kuqa,41.7278,82.9364,22.26,26,0,3.24,CN,1715128663
292,gurghiu,46.7667,24.85,12.14,92,100,2.29,RO,1715128663
293,long beach,33.767,-118.1892,24.86,69,0,6.17,US,1715128099
294,nova sintra,14.8667,-24.7167,24.04,75,3,5.93,CV,1715128332
295,bodo,67.28,14.405,5.02,56,0,12.35,NO,1715128485
296,jasidih,24.5167,86.65,25.92,65,0,5.3,IN,1715128664
297,ta`u,-14.2336,-169.5144,29.08,80,96,4.95,AS,1715128409
298,zouerate,22.7187,-12.4521,30.54,9,0,1.9,MR,1715128664
299,magdagachi,53.45,125.8,20.11,27,100,5.24,RU,1715128665
300,itoman,26.1247,127.6694,26.43,72,40,3.09,JP,1715128665
301,timbuktu,16.7735,-3.0074,33.4,33,33,3.22,ML,1715128665
302,new norfolk,-42.7826,147.0587,12.18,86,100,0.53,AU,1715128343
303,christchurch,-43.5333,172.6333,14.07,67,11,2.06,NZ,1715128315
304,guerrero negro,27.9769,-114.0611,17.62,65,0,9.17,MX,1715128532
305,newman,37.3138,-121.0208,23.47,34,37,8.05,US,1715128563
306,tyre,33.2733,35.1939,17.34,70,0,1.31,LB,1715128666
307,sao vicente,-23.9631,-46.3919,31.26,26,5,1.33,BR,1715128336
308,magadan,59.5667,150.8,-0.26,97,99,3.78,RU,1715128299
309,mwandiga,-4.83,29.6581,22.27,84,93,3.16,TZ,1715128666
310,klyuchi,52.2667,79.1667,11.93,78,4,4.55,RU,1715128314
311,saudarkrokur,65.7461,-19.6394,3.21,77,54,5.66,IS,1715128667
312,qaqortoq,60.7167,-46.0333,-0.3,60,97,1.03,GL,1715128303
313,beatrice,40.2681,-96.747,22.05,28,0,4.12,US,1715128667
314,bandar abbas,27.1865,56.2808,25.99,61,0,3.09,IR,1715128667
315,sona,45.4388,10.8255,14.75,93,75,1.03,IT,1715128306
316,carnarvon,-24.8667,113.6333,21.68,39,4,4.47,AU,1715128311
317,cooma,-36.2333,149.1333,11.02,58,36,1.61,AU,1715128516
318,corvallis,44.5646,-123.262,16.37,66,75,3.09,US,1715128438
319,mount darwin,-16.7725,31.5838,11.75,78,0,1.32,ZW,1715128668
